Term,Meaning_of_term,Dialect type,Fill_in_Blank_question,correct_answer
إلّا,كلمة تأتي بمعنى نفى او عكس الموقف . معناها : بلى,General,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: عندما يقول لك أحد الأصدقاء 'ما سويت شي!' يمكنك الرد: '______ حليته.'
الخيارات:
أ) بلى
ب) لا
ج) تسوي
د) تعيد",أ
إلفز,إلفزه >>يعني خبأه أو إتركه أو ألقيه في مكان لايعلم أحد .,General,"المهمة: إكمال الجملة بالكلمة المناسبة.
السؤال: عندما انتهى الحفل، طلب محمد من أصدقائه أن _______ كل ما بحوزتهم.
الخيارات:
أ) إلفز
ب) أخذ
ج) ترك
د) احتفظ",أ
إلين,إلين: حرف جر مرادف لكلمة إلى. ملاحظة/ الكلمة منحوتة من (إلى-أين),General,"المهمة: أكمل الجملة باستخدام كلمة 'إلين'.
السؤال: سأذهب إلى المتجر __________ الساعة 5.
الخيارات:
أ) حتى
ب) إلين
ج) قبل
د) بعد",ب
قوطه,هذا كلمه معناها طماطم,Southern,"المهمة: أكمل الجملة التالية بالوحدة المناسبة.
السؤال: قالت منيره: 'يا بنت من فين تشترتي هذي __________.'
الخيارات:
أ) قوطه
ب) موز
ج) فليفلة
د) بصل",أ
إنطم,بمعنى : اخرس ويقولها عادة الشخص الضجران للشخص الاخر اذا خالفه في وجهة النظر,Central,"المهمة: املأ الفراغ بما يناسب.
السؤال: عندما قال إبراهيم 'أقول إنطم' كان يقصد أن يطلب من أحمد أن ____ .
الخيارات:
أ) يتكلم أكثر
ب) يصمت
ج) يضحك
د) يتصرف بلطف",ب
إنقلع,تعني أغرب عن وجهي .,General,"المهمة: أكمل الجملة بما يناسب.
السؤال: يارجال تراك أزعجتني يلا ______.
الخيارات:
أ) إنقلع
ب) تعال
ج) اجلس
د) ساعدني",أ
إيت,تعال. هذا المصطلح من منطقة حائل.,Northern,"المهمة: أكمل الجملة باستخدام الكلمة المناسبة.
السؤال: إذا أردت من شخص الحضور إليك، يمكنك أن تقول له '______'.
الخيارات:
أ) اذهب
ب) تعال
ج) إيت
د) اجلس",ج
مسفح,يعني طاير في العجة وهو ماعنده ماعند جدتي يعني بالعربي الفصيح من جنب العارضة,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: الشخص الذي يُطلق عليه لقب 'مسفح' يعني أنه ______.
الخيارات:
أ) طاير في العجة
ب) متمكن
ج) مسؤول
د) كسول",أ
إيوة,بمعنى (نعم),Southern,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: إذا سُئلت 'إنتي في البيت؟'، فيمكنك الرد بــ '______'.
الخيارات:
أ) إيوة
ب) لا
ج) يمكن
د) أين",أ
كلبوهم.,كلبوهم: أي جميعهم. ملاحظة: الكلمة تعرضت لظاهرة النحت. وأصلها كل أبوهم.,General,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: 'كلبوهم' تعني _____.
الخيارات:
أ) نصفهم
ب) جميعهم
ج) قليل منهم
د) فقط واحد",ب
ابزم,اسكت,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما يتحدث الجميع، نحتاج أن نقول لهم '______'.
الخيارات:
أ) اركض
ب) ابزم
ج) العب
د) اضحك",ب
ابك,هو مصطلح ل قبيلتي عنزه و عتيبة و تعني انصت و استمع ولكن من قلة الادب ان تقولها ل من هم اكبر منك سناً,Central,"المهمة: أكمل الجملة بالتعبير المناسب.
السؤال: إذا أردت أن تقول للآخرين أن يستمعوا، يمكنك استخدام كلمة _____ .
الخيارات:
أ) ابك
ب) انتبه
ج) تكلم
د) اذهب",أ
ابلش,أَبْلَشْ : أزعج و أضجر وأصبح كالشوكة في الحلق,Northern,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: عندما يصرخ الأطفال باستمرار، يمكن أن نقول إنهم قد ________ أمهاتهم.
الخيارات:
أ) أسعدوا
ب) أزعجوا
ج) فاجأوا
د) رفعوا",ب
ابلع,كلمة تختصر الفرحة عن الفوز,Central,"المهمة: أكمل الجملة باستخدام كلمة 'ابلع'.
السؤال: بعد فوز الفريق في المباراة، صرخ أحد المشجعين: '____ لقد فزة عليك!'
الخيارات:
أ) اشتكيت
ب) أبلع
ج) غضبت
د) تساءلت",ب
عذروب,تعني العيب أو النقص في الشيء الجمع عذاريب,Central,"المهمة: أكمل الجملة التالية بالكلمة المناسبة.
السؤال: إذا كانت السلعة فيها _______، فهي تعتبر غير صالحة للاستخدام.
الخيارات:
أ) عذروب
ب) جودة
ج) كمال
د) جمال",أ
اتمرمط,شخص تعب من كثرة العمل الفوق الطبيعي,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما يعمل الشخص كثيراً ويشعر بالتعب، يمكننا أن نقول أنه ______.
الخيارات:
أ) استرخى
ب) اتخبط
ج) اتمرمط
د) تفرغ",ج
ابونا,زوجي او رجلي او ابو عيالي.,General,"المهمة: أكمل الجملة التالية بالكلمة المناسبة.
السؤال: عندما أحتاج إلى المساعدة، دائما أذهب إلى ___ لأنني أثق فيه.
الخيارات:
أ) ابونا
ب) الجيران
ج) المعلم
د) الأصدقاء
الإجابة الصحيحة:",
عانيه,تعني هذا هو,Southern,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: إذا قال شخص 'عانيه الفستان اللي تبينه عانه العقال'، فالمقصود بـ 'عانيه' هو ____.
الخيارات:
أ) ربما
ب) هذا هو
ج) مفضل
د) مختلف",ب
اتعربش,تسلق,Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا أردت أن تتسلق الجدار، يمكنك أن تقول: 'أنا ____ الجدار'.
الخيارات:
أ) اتعربش
ب) أستريح
ج) أسبح
د) أركض",أ
اتلحلح,لحلح الشيئ اي ازاحه من مكانه الثابت,Western,"المهمة: أكمل الجملة بالاختيار الصحيح.
السؤال: عندما نشعر بالضيق، ينبغي علينا أن __________ من مكاننا.
الخيارات:
أ) نقترب
ب) نتأخر
ج) اتلحلح
د) نركض",ج
اتمردغ,اتمردغ يعني تببهذل واتمرمط واتلطش,Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: الولد داك اتكلم مع أصحابه بعد ما __________ في السوق.
الخيارات:
أ) اتبهدل
ب) اتفرج
ج) اتصل
د) اتمردغ",د
طحش,طحش معناها الشخص السمين (الهرش),Central,"المهمة: أكمل الجملة بالعبارة الصحيحة.
السؤال: عندما رأيت صديقي، قلت له: 'وااوتس وش هال______ !'
الخيارات:
أ) الشيء
ب) الطحش
ج) الجميل
د) الغالي",ب
ارحب,تقال للترحيب بالشخص,General,"المهمة: أكمل الجملة بالعبارة الصحيحة.
السؤال: عندما دخل الضيف، قال فلان: ________.
الخيارات:
أ) الله يعينك
ب) أرحب
ج) السلام عليكم
د) مع السلامة",ب
اثره,(اثره) كلمه تعني صار او لكنه,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: حسبتها مذاكرة __________ تكذب شكله صادق.
الخيارات:
أ) اثرها
ب) يقولها
ج) يعرضها
د) يخسرها",أ
اجادي,أجادى= اركز على الهدف لأصابته بدقة (فى رمى الحجر او النبل),Southern,"المهمة: أكمل الجملة بالاختيار الصحيح.
السؤال: عندما ____ على العصفور بالنبالة، كان التركيز واضحًا.
الخيارات:
أ) اجادي
ب) تشتت
ج) تجاهلت
د) تقلبت",أ
اجغده,"اجغده: هي كلمة تعني الحقه بسرعة، ومشتقة من الفعل ""جغد"" وهو يعني الركض تستعمل الكلمة في نجد النائية، وتكاد لا توجد في المدن",Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما أرى الفريسة أقول '_______ الفريسة لا تدعها تهرب'.
الخيارات:
أ) اجغد
ب) امشِ
ج) توقف
د) حذار",أ
اجغفه,اي يقبل,Central,"المهمة: أكمل الجملة بالخيارات المناسبة.
السؤال: استخدم الكلمة المناسبة في الجملة: 'عندما ألتقي أمي، أحب أن _____ راسها'.
الخيارات:
أ) اجغفه
ب) أرفضها
ج) أمدحها
د) أشتكي منها",أ
اجغفها,ان يحضن الشخص بقوة,Central,"المهمة: إكمال الجملة بالكلمة المناسبة.
السؤال: عندما أراد أن يستقبل صديقه، قرر أن ________ه.
الخيارات:
أ) يجغف
ب) يبتسم
ج) يتحدث
د) يجري",أ
اجفى,اجْفَى للولد اجْفِي للبنت وكل الكلمتان تعني انتظر,General,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: عندما نريد أن نطلب من شخص ما الانتظار نقول له: __________.
الخيارات:
أ) اجفَى
ب) اذهب
ج) تعال
د) ابدأ",أ
اجمح,اركض بشدة,Central,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: يجب عليك __________ عندما تلعب في الملعب.
الخيارات:
أ) تجلس
ب) تجري
ج) تفكر
د) تستريح",ب
اجنده,اَجِنْدَة ، اجندات كلمة إنݠليزية الاصل : agenda اجنده تعني: -جدول اعمال -قائمة من الاهداف او المشاريع. تستخدم مجازياً على الافلام التي تحتوي على افكار ومفاهيم مدفوعة سياسيًا لتحقيق اهداف معينة(غالبا ما تكون اهداف الحزب اليساري الامريكي، حقوق المثليين والنسويات، والاشتراكية الاقتصادية),General,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: كلمة 'اجنده' تعني __________.
الخيارات:
أ) جدول أعمال
ب) حدث ثقافي
ج) طعام سعودي
د) وسيلة نقل",أ
احبش,بمعنى احبك وتقال للمرأه,Southern,"المهمة: أكمل الجملة بكلمة 'احبش'.
السؤال: عندما أقول لجين '_____ يا لجين' أعبر عن حبي لها.
الخيارات:
أ) احبش
ب) أكره
ج) أعتبر
د) أبعث",أ
احثاه,احثاه بمعنى اتركه . سيبه . دعه,General,"المهمة: أكمل الجملة باستخدام الكلمة المناسبة.
السؤال: في اللهجة السعودية، عندما نقول 'احثاه' نحن نعني ______.
الخيارات:
أ) اتركه
ب) اجمعه
ج) ابحث عنه
د) اشرح له",أ
اححه,اححه: اما تعبر للصدمة,Western,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: عندما سمع الخبر المفاجئ، قال: '_______'.
الخيارات:
أ) الحمد لله
ب) اححه
ج) يالله
د) ما تفكر",ب
