Term,Meaning_of_term,Dialect type,True_False_question,correct_answer
امّا حبا ولا برك,اما يتقدم حبواً، بشكل بطيء، او يبرك، اي يتوقف في مكانه. بمعنى انه اما يقدم اقل المطلوب او لا يقدم شيء تقال عادة للشخص الذي لا يوجد حل وسط عنده.,General,"المهمة: حدد إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: العبارة 'امّا حبا ولا برك' تعني أن الشخص يتقدم بخطوات سريعة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
انحي راسك,اقول روح وراك وتلحق وراه,Western,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'انحي راسك' تعني 'أقول احترم نفسك'.
الخيارات:
أ) صحيح
ب) خاطئ",ب
ما صفطناكم,ما شبعنا منكم,Western,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة (ما صفطناكم) تُقال للتعبير عن الاكتفاء والملل من الأشخاص.
الخيارات:
أ) صحيح
ب) خاطئ",ب
الموضوع تسايد,الموضوع كبير,Central,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (الموضوع تسايد) لوصف أمر بسيط وسهل.
الخيارات:
أ) صحيح
ب) خاطئ",ب
اها عاد,كلمة تقال عند الحساويه وتعني (هيا بسرعه ) او بالعاميه يالله بسرعه,Eastern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'اها عاد' تعني 'الجميع تعالوا هنا'.
الخيارات:
أ) صحيح
ب) خاطئ",ب
اهب ياوجهه,تعني انك تروح لشخص وتشوف معه مال او شيء وتقول له اهب يا وجهه يعني انت هنا تقصد انك تعطيه عين والعين هي من العين والحسد,General,"المهمة: قرر ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'اهب ياوجهه' تعني أنك تعطي شخصًا عينًا بهدف الحسد.
الخيارات:
أ) صحيح
ب) خطأ",أ
اهرج,اتكلم,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'اهرج' تعني 'استمع' في اللهجة الحجازية.
الخيارات:
أ) صحيح
ب) خطأ",ب
اولااه,هي كلمة ترجي أو إستعطاف ( تقابل تكفى ).,Central,"المهمة: حدد صحة العبارة التالية:
السؤال: كلمة 'اولااه' تستخدم للتعبير عن الطلب أو الرجاء.
الخيارات:
أ) صحيح
ب) خطأ",أ
اُولّه,تستخدم في حال حدوث شي مفاجئ مثل كي لاكن تكون كتعجب,Central,"المهمة: اختر إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'اُولّه' تستخدم للتعبير عن التعجب فقط.
الخيارات:
أ) صحيح
ب) خطأ",أ
اويل ويلي ويلاه,تقال عند المصيبة مثل عندما تقابل صديقك النشبه الي غصب يقلط و انت طفران جداً,Central,"المهمة: حدد صحة العبارة التالية.
السؤال: عبارة 'اويل ويلي ويلاه' تستخدم عند الالتقاء بصديق في حالة جيدة.
الخيارات:
أ) صحيح
ب) خطأ",ب
ايش بامك انت,ايش بامك انت هي كلمة جداوية تعني ماذا بك او ماذا تريد,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: 'ايش بامك انت' تعني في اللهجة السعودية 'كيف حالك'.
الخيارات:
أ) صحيح
ب) غلط",ب
ايش بك,ماذا دهاك,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال:  العبارة 'ايش بك' تعني 'كيف حالك؟'.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
ب خشم الريال,"عبارة جديدة دارجة وشائعة في المجتمع السعودي: ولو فككنا الكلمة وإظهارنا معناها الحرفي، سيبدو لنا التالي: خشم: تعني أنف الريال: هي العملة السعودية ""أنف الريال""؟ >> غير مفهومة؟! المعنى المجازي: هو: أي رغم أنف من لا يرضى، نشتري أي شيء نريده ب المال (الريال)",General,"المهمة: تقييم صحة العبارة المتعلقة بمعنى 'ب خشم الريال'.
السؤال: عبارة 'ب خشم الريال' تعني أنه يمكنك شراء شيء ما رغم عدم رضا الآخرين.
الخيارات:
أ) صحيح
ب) خطأ",أ
بارد صارد,صفة تطلق على الطعام الذي استمر فترة طويلة بعد إعداده ولم يتم تناوله نظراً لانشغال متناوليه في أمر ما.,Western,"### نوع السؤال: صحيح/خطأ
- المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.
- السؤال: تقول عبارة ""بارد صارد"" عن الطعام الذي تم تناوله بسرعة.
- الخيارات: 
 A) صحيح 
 B) خطأ 
- - العبارة تعني أن الطعام لم يتم تناوله بل ترك لفترة طويلة.",B
زردمت سبدي,زردمت سبدي اي الشعور بالغثيان,Central,"المهمة: حدد صحة العبارة التالية.
السؤال: عبارة 'زردمت سبدي' تعني الشعور بالراحة.
الخيارات:
أ) صحيح
ب) خطأ",ب
ادّحدرت من الدّحديرة,اتزحلقت من النزلة,Western,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (ادّحدرت من الدّحديرة) للدلالة على الانزلاق أو السقوط في نزلة.
الخيارات:
أ) صحيح
ب) خاطئ",أ
بس يا حمزة,تقال عند المبالغة أو الكذب الزاايد,Western,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'بس يا حمزة' تستخدم عند قول شيء حقيقي.
الخيارات:
أ) صحيح
ب) خاطئ",ب
سردادي مردادي,راح جاي,General,"المهمة: تحديد صحة العبارة.
السؤال: كلمة 'سردادي مردادي' تشير إلى الحركة من مكان لآخر.
الخيارات:
أ) صحيح
ب) خطأ",أ
بطّيت جبدي,كلمة شرقاوية ووايضا عند اهل الخليج وتعني: قهرتني ، نرفزتني ، طفّشتني,Eastern,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'بطّيت جبدي' تعني 'ساعدتني' في اللهجة السعودية.
الخيارات:
أ) صحيح
ب) خاطئ",ب
بعلمك شغلك,تستخدم لتهديد يعني ساريك ,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'بعلمك شغلك' تعني 'سأخبرك'?
الخيارات:
أ) صحيح
ب) خاطئ",ب
اشبك مصرفدة,لماذا مستعجلة,Western,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (اشبك مصرفدة) للسؤال عن سبب الاستعجال.
الخيارات:
أ) صحيح
ب) خاطئ",أ
بقرة ابها,تقال للانثى الغبيّة او التي لا تحسن التصرف. استخدامها محدود,Southern,"المهمة: قرر إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'بقرة ابها' تُستخدم للإشارة إلى المرأة التي تعرف كيف تتصرف.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
بقعا تصوعك,بقعا:(جنيّه) مشتهرة بين أهل الجنوب. وتصوعك: أي تتلآعب فيك وتسكنك. وهي عباره منتشرة بين أهل الجنوب. وإذا وُجّهت للأنثى تصبح. (بقعا تصوعش),Southern,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'بقعا تصوعك' تعني أنك تتلاعب في شخص آخر.
الخيارات:
أ) صحيح
ب) خطأ",ب
بقعى تصوعك واخرى تروعك,جنيه تصيبك وتدخل فيك واخرى (اي الجنيه الثانيه )تخيفك,Southern,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية.
السؤال: عبارة ""بقعى تصوعك واخرى تروعك"" تتعلق بشيئين يؤثران على الشخص بشكل إيجابي فقط. 
الخيارات: 
A) صحيح 
B) خطأ 
شرح: العبارة تشير إلى تأثيرات متضادة، حيث يصيبك شيء ويخيفك آخر، مما يدل على تأثيرات سلبية أيضًا.",B
بلا زناوه,لا تلف وتدور او لا تكذب.,Western,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: العبارة ""بلا زناوه"" تعني في اللهجة الحجازية ""لا تلف وتدور"". 
الخيارات: 
A) صحيح 
B) خطأ",A
بلا بياخة,"صيغة مبالغة ل ""لا تستهبل""",Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'بلا بياخة' تعني 'كن حذراً'.
الخيارات:
أ) صحيح
ب) خطأ",ب
بلش يحتك,دعوة يدعى بها على أي ظالم أو مفسد وأكثر ما تستخدم عند أهل القصيم,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'بلش يحتك' تستخدم للدعوة بالشر.
الخيارات:
أ) صحيح
ب) خطأ",أ
والله أنك بلشة,بلشة بمعنى الشخص العلة الي ينشب فحلقك ويطفشك,Western,"المهمة: تحديد صحة العبارة.
السؤال: عبارة 'والله أنك بلشة' تعني شخص طيب.
الخيارات:
أ) صحيح
ب) خطأ",ب
بوه مير نايم,كلمه او عباره مشهوره يستخدمها القصمان الي هم اهل منطقة القصيم اولا به تنطق بوه ولي هي تعني موجود مير يعني لكن نايم تنطق نيم ول هي نائم,Central,"المهمة: تحقق من صحة العبارة التالية.
السؤال: عبارة 'بوه مير نايم' تعني 'لا يوجد أحد هنا'.
الخيارات:
أ) صحيح
ب) خطأ",ب
بيّض الله وجهك,للثناء والشكر والرد عليها يكون ووجهك أبيض,General,"المهمة: حدد صحة العبارة التالية.
السؤال: عبارة 'بيّض الله وجهك' تستخدم للثناء والشكر.
الخيارات:
أ) صحيح
ب) خطأ",أ
