Term,Meaning_of_term,Dialect type,Meaning_question,correct_answer
الله الله,"تعبر هذه العبارة عن موافقة القائل لما قيل قبل قليل. و يمكن تعويضها بقوله ""صدقت"" أو ""فعلاً. هذا صحيح""",General,"المهمة: حدد المعنى الصحيح لعبارة 'الله الله'.
السؤال: ماذا تعبر عبارة 'الله الله'؟
الخيارات:
أ) تعبر عن عدم الموافقة
ب) تعبر عن الاندهاش
ج) تعبر عن موافقة
د) تعبر عن التعجب",ج
الله لا يعوق بشر,تعني أي أن شاء الله تسير الأمور بخير,General,"المهمة: حدد المعنى الصحيح للعبارة.
السؤال: ما معنى عبارة 'الله لا يعوق بشر'؟
الخيارات:
أ) الأمور تسير بخير إن شاء الله
ب) الأمور سيئة جداً
ج) لا يمكن الاستمرار
د) لا يوجد حل",أ
الله يحزنا خير,الله يحزنا خير تعني الله يوجهنا للخير,General,"### نوع السؤال: معنى
- المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية.
- السؤال: ما معنى العبارة ""الله يحزنا خير""؟
- الاختيارات:
 A) الله يمنحنا الشر 
 B) الله يوجهنا للخير 
 C) الله يحزننا 
 D) الله ينصحنا بالخطأ 
-",B
أرفعه قب,بضم القاف و تسكين الباء وتأتي هذه العبارة بمعنى اسحب عليه أو طنشه,Western,"المهمة: حدد المعنى الصحيح للعبارة 'أرفعه قب'.
السؤال: ماذا تعني عبارة 'أرفعه قب'؟
الخيارات:
أ) اصطحبه
ب) اسحب عليه
ج) أوقفه
د) ساعده",ب
الله يسبقبي,الرد على عبارة الله يطعني وتعني أنه يتمنى أن يأخذ الألم والمصيبة أولا وهي قريبة من معنى الله يجعل يومي قبل يومك,Southern,"المهمة: حدد المعنى الصحيح للعبارة 'الله يسبقبي'.
السؤال: ما معنى عبارة 'الله يسبقبي'؟
الخيارات:
أ)يتمنى أن يأخذ الألم والمصيبة أولا
ب) طلب الفرج
ج) الدعاء بالرزق
د) تمنّي الصحة",أ
اللهم اجعل هذا البلد آمنا,"دعاء مأخوذ من آية في القران سورة البقرة آية ""وَإِذْ قَالَ إِبْرَاهِيمُ رَبِّ اجْعَلْ هَٰذَا بَلَدًا آمِنًا وَارْزُقْ أَهْلَهُ مِنَ الثَّمَرَاتِ"" في المناسبات الوطنية (مثل اليوم الوطني) يكرر المتدينون هذا الدعاء بدلا من التهنئة لأنهم مقتنعون أن الاحتفالات وتبادل التهاني بدعة ولا تجوز, وحتى لا يتهمون أنهم خوارج أو معارضين للدولة يقولون هذا الدعاء في تويتر والإعلام وواتساب إلخ أيضا الدعاء يستعمل كنوع من إعلان التضامن مع الدولة واستنكار الأعمال الإرهابية.",General,"المهمة: حدد المعنى الصحيح للعبارة 'اللهم اجعل هذا البلد آمنا'.
السؤال: ما هو معنى العبارة 'اللهم اجعل هذا البلد آمنا'؟
الخيارات:
أ) دعاء للتحصين من الأخطار
ب) دعاء للرزق
ج) دعاء للحب والسلام
د) دعاء للشفاء",أ
المح ذاعك,انظر الى ذلك الشخص,General,"المهمة: اختيار المعنى الصحيح للعبارة 'المح ذاعك'
السؤال: ما هو المعنى المناسب للعبارة 'المح ذاعك'؟
الخيارات:
أ) انظر إلى ذلك الشخص
ب) هل رأيت هذا الشيء؟
ج) احترس من السيارة
د) اذهب إلى المكان",أ
الهيس الأربد,الهيس الأربد: صفة تطلق على الشخص الكسلان، المهمل، الثقيل الحركة، الذي ليس لديه طموح.,Central,"المهمة: حدد المعنى الصحيح للعبارة 'الهيس الأربد'.
السؤال: ما هو المعنى المناسب لعبارة 'الهيس الأربد'؟
الخيارات:
أ) شخص نشيط ومجتهد
ب) شخص كسلان وغير طموح
ج) شخص سريع الحركة
د) شخص قوي البنية",ب
الوجه الودر,الوجه القبيح الذي يجلب النكد والهم.,Central,"المهمة: حدد المعنى الصحيح للعبارة 'الوجه الودر'.
السؤال: ما معنى مصطلح 'الوجه الودر'؟
الخيارات:
أ) الوجه الجميل الذي يجلب السعادة.
ب) الوجه القبيح الذي يجلب النكد والهم.
ج) الوجه الصافي الذي يضيء.
د) الوجه العابس الذي يعبر عن الفرح.",ب
امّا حبا ولا برك,اما يتقدم حبواً، بشكل بطيء، او يبرك، اي يتوقف في مكانه. بمعنى انه اما يقدم اقل المطلوب او لا يقدم شيء تقال عادة للشخص الذي لا يوجد حل وسط عنده.,General,"المهمة: حدد المعنى الصحيح لعبارة 'امّا حبا ولا برك'.
السؤال: ما المعنى المقصود من العبارة 'امّا حبا ولا برك'؟
الخيارات:
أ) يتقدم سريعاً
ب) يتوقف في مكانه
ج) يتقدم ببطء
د) لا يقدم شيئاً",ب
انحي راسك,اقول روح وراك وتلحق وراه,Western,"المهمة: حدد المعنى الصحيح للعبارة.
السؤال: ما معنى عبارة 'انحي راسك'؟
الخيارات:
أ) أقول اذهب بعيدًا
ب) أركض بسرعة
ج) اجلس هنا
د) استعد للاحتفال",أ
ما صفطناكم,ما شبعنا منكم,Western,"المهمة: حدد المعنى الصحيح لعبارة (ما صفطناكم).
السؤال: ما المقصود من عبارة (ما صفطناكم)؟
الخيارات:
أ) شبعنا منكم
ب) ما شبعنا منكم
ج) نريد المغادرة
د) نغضب منكم",ب
الموضوع تسايد,الموضوع كبير,Central,"المهمة: حدد المعنى الصحيح لعبارة (الموضوع تسايد).
السؤال: ما المعنى المقصود من عبارة (الموضوع تسايد)؟
الخيارات:
أ) الموضوع صغير
ب) الموضوع كبير أو معقد
ج) الموضوع انتهى
د) الموضوع واضح تمامًا",ب
اها عاد,كلمة تقال عند الحساويه وتعني (هيا بسرعه ) او بالعاميه يالله بسرعه,Eastern,"المهمة: حدد المعنى الصحيح للعبارة التالية.
السؤال: ماذا تعني عبارة 'اها عاد'؟
الخيارات:
أ) هيا بسرعه
ب) أجلس هنا
ج) أذهب بعيداً
د) انتظر قليلاً",أ
اهب ياوجهه,تعني انك تروح لشخص وتشوف معه مال او شيء وتقول له اهب يا وجهه يعني انت هنا تقصد انك تعطيه عين والعين هي من العين والحسد,General,"### نوع السؤال: معنى 
المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية. 
السؤال: ما معنى عبارة ""اهب يا وجهه""؟ 
الخيارات: 
A) تعني اذهب لصديق. 
B) تعني أعطيه عيني. 
C) تعني ابرز مشاعرك. 
D) تعني استرخي وارتاح.",B
اهرج,اتكلم,Western,"المهمة: حدد المعنى الصحيح لكلمة 'اهرج'.
السؤال: ما معنى كلمة 'اهرج'؟
الخيارات:
أ) اتكلم
ب) اذهب
ج) استمع
د) اشرح",أ
اولااه,هي كلمة ترجي أو إستعطاف ( تقابل تكفى ).,Central,"المهمة: حدد المعنى الصحيح لكلمة 'اولااه'.
السؤال: ما معنى كلمة 'اولااه' المستخدمة في اللهجة السعودية؟
الخيارات:
أ) كلمة تعني ليس لديك خيار
ب) كلمة ترجي أو استعطاف
ج) كلمة تشير إلى السعادة
د) كلمة تعني الفراق",ب
اُولّه,تستخدم في حال حدوث شي مفاجئ مثل كي لاكن تكون كتعجب,Central,"المهمة: حدد معنى 'اُولّه' في السياق الصحيح.
السؤال: ما هو المعنى الصحيح لعبارة 'اُولّه'؟
الخيارات:
أ) تستخدم عند التعجب من شيء مفاجئ
ب) تعني الرفض
ج) تشير إلى الحزن
د) تعني الأمل",أ
اويل ويلي ويلاه,تقال عند المصيبة مثل عندما تقابل صديقك النشبه الي غصب يقلط و انت طفران جداً,Central,"المهمة: اختر معنى العبارة 'اويل ويلي ويلاه'.
السؤال: ما هو المعنى الصحيح لعبارة 'اويل ويلي ويلاه'؟
الخيارات:
أ) تعبير عن الفرح
ب) تعبير عن الندم
ج) تعبير عن الفقر والإحباط
د) تعبير عن السعادة",ج
ايش بامك انت,ايش بامك انت هي كلمة جداوية تعني ماذا بك او ماذا تريد,Western,"المهمة: حدد المعنى الصحيح للعبارة.
السؤال: ما معنى عبارة 'ايش بامك انت'؟
الخيارات:
أ) ماذا بك أو ماذا تريد
ب) كيف حالك
ج) أين تذهب
د) متى تصل",أ
ايش بك,ماذا دهاك,General,"المهمة: حدد معنى العبارة 'ايش بك'.
السؤال: ما معنى العبارة 'ايش بك'؟
الخيارات:
أ) ماذا تريد؟
ب) ماذا دهاك؟
ج) كيف حالك؟
د) ما اسمك؟",ب
ب خشم الريال,"عبارة جديدة دارجة وشائعة في المجتمع السعودي: ولو فككنا الكلمة وإظهارنا معناها الحرفي، سيبدو لنا التالي: خشم: تعني أنف الريال: هي العملة السعودية ""أنف الريال""؟ >> غير مفهومة؟! المعنى المجازي: هو: أي رغم أنف من لا يرضى، نشتري أي شيء نريده ب المال (الريال)",General,"المهمة: تحديد المعنى المجازي لعبارة 'ب خشم الريال'.
السؤال: ما هو المعنى المجازي لعبارة 'ب خشم الريال'؟
الخيارات:
أ) الحصول على شيء بدون دفع أي مبلغ
ب) شراء شيء برغم اعتراض الآخرين
ج) دفع مبلغ كبير للحصول على شيء
د) الاستغناء عن المال تماماً",ب
بارد صارد,صفة تطلق على الطعام الذي استمر فترة طويلة بعد إعداده ولم يتم تناوله نظراً لانشغال متناوليه في أمر ما.,Western,"### نوع السؤال: معنى
- المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.
- السؤال: ما معنى عبارة ""بارد صارد"" في اللهجة الحجازية؟
- الخيارات: 
 A) طعام لا يمكن أكله بعد فترة طويلة 
 B) طعام مثلج 
 C) طعام متبّل بشكل جيد 
 D) طعام ساخن وجاهز 
-",A
